,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1,7,WHITE MARLIN (IRE),Gai Waterhouse & Adrian Bott,Tim Clark,,15,56kg,,$2.35F
1,,2,12,PROTECTION MONEY,Nigel Blackiston,Brett Prebble,5.5L,2,54kg,,$71
2,,3,9,CABOCHE (NZ),Chris Waller,Damian Lane,7L,5,54kg,,$8
3,,4,6,PAPPALINO (FR),Matthew Smith,Damien Thornton,7.5L,8,56kg,,$31
4,,5,3,TEAM CAPTAIN (IRE),Matt Cumani,Blake Shinn,9L,12,58.5kg,,$12
5,,6,8,VERIMLI (FR),Robert Hickmott,Anthony Darmanin,9.3L,9,54.5kg,,$10
6,,7,4,HERMAN HESSE (GB),Ciaron Maher & David Eustace,Jason Collett,9.4L,6,58kg,,$13
7,,8,2,GOOD IDEA,Phillip Stokes,Daniel Moor,9.7L,10,58.5kg,,$41
8,,9,10,SOUS LES NUAGES (IRE),Matt Cumani,Michael Dee,11.7L,4,54kg,,$26
9,,10,14,BELL EX ONE (IRE),Steven Pateman,Damien Oliver,14.7L,14,54kg,,$12
10,,11,5,TEEWATERS,Archie Alexander,Craig Williams,15.2L,7,58kg,,$26
11,,12,13,THEMOONLITEGAMBLER,John McArdle,Daniel Stackhouse,15.4L,3,54kg,,$21
12,,13,1,AURORA’S SYMPHONY,Symon Wilde,Harry Coffey,19.65L,11,60kg,,$21
13,,14,15,BORDER LEICESTER (NZ),Emma-Lee & David Browne,Beau Mertens,22.9L,1,54kg,,$91
14,,15,11,NOONDAY GUN (GB),Ciaron Maher & David Eustace,John Allen,37.9L,13,54kg,,$21
